Title,Wiki Page,Composition_Chunk,Awards_Chunk,Production_Chunk
The Great Gatsby,https://en.wikipedia.org/wiki/The_Great_Gatsby_(1926_film),, ,"Fitzgerald began outlining his third novel in June 1922. He longed to produce an exquisite work that was beautiful and intricately patterned, but the troubled production of his stage play The Vegetable repeatedly interrupted his progress. The play flopped, and Fitzgerald wrote magazine stories that winter to pay debts incurred by its production. He viewed these stories as all worthless, although included among them was ""Winter Dreams"", which Fitzgerald described as his first attempt at the Gatsby idea. ""The whole idea of Gatsby"", he later explained to a friend, ""is the unfairness of a poor young man not being able to marry a girl with money. This theme comes up again and again because I lived it"".
In October 1922, after the birth of their only child, Frances Scott ""Scottie"" Fitzgerald, the Fitzgeralds moved to Great Neck, New York, on Long Island. Their neighbors in Great Neck included such newly wealthy personages as writer Ring Lardner, actor Lew Fields and comedian Ed Wynn. These figures were all considered to be nouveau riche, unlike those who came from Manhasset Neck, which sat across the bay from Great Neck—places that were home to many of New York's wealthiest established families. This real-life juxtaposition gave Fitzgerald his idea for ""West Egg"" and ""East Egg"". In the novel, Great Neck (Kings Point) became the ""new money"" peninsula of West Egg and Port Washington (Sands Point) became the ""old money"" East Egg. Several Gold Coast mansions in the area served as inspiration for Gatsby's estate including Land's End, Oheka Castle, and the since-demolished Beacon Towers.
While living on Long Island, the Fitzgeralds' enigmatic neighbor was Max Gerlach. Purportedly born in America to a German immigrant family, Gerlach had been a major in the American Expeditionary Forces during World War I, and he later became a gentleman bootlegger who lived like a millionaire in New York. Flaunting his new wealth, Gerlach threw lavish parties, never wore the same shirt twice, used the phrase ""old sport"", and fostered myths about himself, including that he was a relation of the German Kaiser. These details about Gerlach inspired Fitzgerald in his creation of Jay Gatsby.
During this same time period, the daily newspapers sensationalized the Hall–Mills murder case over many months, and the highly publicized case likely influenced the plot of Fitzgerald's novel. The case involved the double-murder of a man and his lover on September 14, 1922, mere weeks before Fitzgerald arrived in Great Neck. Scholars have speculated that Fitzgerald based certain aspects of the ending of The Great Gatsby and various characterizations on this factual incident.
Inspired by the Hall–Mills case, the mysterious persona of Gerlach and the riotous parties he attended on Long Island, Fitzgerald had written 18,000 words for his novel by mid-1923, but discarded most of his new story as a false start. Some of this early draft resurfaced in the 1924 short story ""Absolution"". In earlier drafts, Daisy was originally named Ada and Nick was Dud, and the two characters had shared a previous romance prior to their reunion on Long Island. These earlier drafts were written from the viewpoint of an omniscient narrator as opposed to Nick's perspective. A key difference in earlier drafts is a less complete failure of Gatsby's dream. Another difference is that the argument between Tom Buchanan and Gatsby is more balanced, although Daisy still returns to Tom.
Work on The Great Gatsby resumed in earnest in April 1924. Fitzgerald decided to depart from the writing process of his previous novels and told Perkins that he was intent on creating an artistic achievement. He wished to eschew the realism of his previous two novels and to compose a creative work of sustained imagination. To this end, he consciously imitated the literary styles of Joseph Conrad and Willa Cather. He was particularly influenced by Cather's 1923 work, A Lost Lady, which features a wealthy married socialite pursued by a variety of romantic suitors and who symbolically embodies the American dream. He later wrote a letter to Cather apologizing for any unintentional plagiarism. During this period of revisions, Scott saw and was influenced by early sketches for the book's dust jacket art. Soon after this burst of effort, work slowed while the Fitzgeralds moved to the Villa Marie in Saint-Raphaël on the French Riviera, where a marital crisis soon developed.
Despite his ongoing marital tension, Fitzgerald continued to write steadily and submitted a near-final version of the manuscript to his editor, Maxwell Perkins, on October 27. Perkins informed him in a November letter that Gatsby was too vague as a character and that his wealth and business, respectively, needed a convincing explanation. Fitzgerald thanked Perkins for his detailed criticisms and claimed that such feedback would enable him to perfect the manuscript. Having relocated with his wife to Rome, Fitzgerald made revisions to the manuscript throughout the winter.
Content after a few rounds of revision, Fitzgerald submitted the final version in February 1925. Fitzgerald's alterations included extensive revisions of the sixth and eighth chapters. He declined an offer of $10,000 for the serial rights to the book so that it could be published sooner. He received a $3,939 advance in 1923 and would receive $1,981.25 upon publication.  "
The Avengers,https://en.wikipedia.org/wiki/The_Avengers_(1950_film),,,
The Godfather,https://en.wikipedia.org/wiki/The_Godfather,"Coppola hired Italian composer Nino Rota to create the underscore for the film, including ""Love Theme from The Godfather"". For the score, Rota was to relate to the situations and characters in the film. Rota synthesized new music for the film and took some parts from his 1958 Fortunella film score, to create an Italian feel and evoke the tragedy within the film. Paramount executive Evans found the score to be too ""highbrow"" and did not want to use it; however, it was used after Coppola managed to get Evans to agree. Coppola believed that Rota's musical piece gave the film even more of an Italian feel. Coppola's father, Carmine, created some additional music for the film, particularly the music played by the band during the opening wedding scene.
Incidental music includes ""C'è la luna mezzo mare"", Cherubino's aria, ""Non so più cosa son"", from Mozart's Le Nozze di Figaro and ""Brindisi"", from Verdi's La traviata. There was a soundtrack released for the film in 1972 in vinyl form by Paramount Records, on CD in 1991 by Geffen Records, and digitally by Geffen on August 18, 2005. The album contains over 31 minutes of music that was used in the film, most of which was composed by Rota, along with a song from Coppola and one by Johnny Farrow and Marty Symes. AllMusic gave the album five out of five, with editor Zach Curd saying it is a ""dark, looming, and elegant soundtrack"". An editor for Filmtracks believed that Rota was successful in relating the music to the film's core aspects. Bach's Prelude and Fugue in D major, BWV 532 and Passacaglia and Fugue in C minor, BWV 582 are played during the baptism scene. "," The Godfather was nominated for seven awards at the 30th Golden Globe Awards: Best Picture – Drama, Al Pacino and Marlon Brando for Best Actor – Drama, James Caan for Best Supporting Actor, Best Score, Best Director, and Best Screenplay, winning for: Best Screenplay, Best Director, Best Actor – Drama (Brando), Best Original Score, and Best Picture – Drama.
Rota's score was also nominated for Grammy Award for Best Original Score for a Motion Picture or TV Special at the 15th Grammy Awards. Rota was announced the winner of the category on March 3 at the Grammys' ceremony in Nashville, Tennessee.
When the nominations for the 45th Academy Awards were revealed on February 12, 1973, The Godfather was nominated for eleven awards. The nominations were for: Best Picture, Best Costume Design, Marlon Brando for Best Actor, Mario Puzo and Francis Ford Coppola for Best Adapted Screenplay, Pacino, Caan, and Robert Duvall for Best Supporting Actor, Best Film Editing, Nino Rota for Best Original Score, Coppola for Best Director, and Best Sound. Upon further review of Rota's love theme from The Godfather, the academy found that Rota had used a similar score in Eduardo De Filippo's 1958 comedy Fortunella. This led to re-balloting, where members of the music branch chose from six films: The Godfather and the five films that had been on the shortlist for best original dramatic score but did not get nominated. John Addison's score for Sleuth won this new vote, and thus replaced Rota's score on the official list of nominees. Going into the awards ceremony, The Godfather was seen as the favorite to take home the most awards. From the nominations that The Godfather had remaining, it only won three of the Academy Awards: Best Actor for Brando, Best Adapted Screenplay, and Best Picture.
Brando, who did not attend the Golden Globes ceremony two months earlier, boycotted the Academy Awards ceremony and declined the Oscar, becoming the second actor to decline a Best Actor award after George C. Scott in 1971. Brando sent American Indian Rights activist Sacheen Littlefeather in his place, to announce at the awards podium Brando's reasons for declining the award, which were based on his objection to the depiction of American Indians by Hollywood and television. Pacino also did not attend the ceremony; he was allegedly insulted at being nominated for the Academy Award for Best Supporting Actor, when he had more screen time than his co-star and Best Actor-winner Brando, and thus should have received the nomination for Best Actor. Pacino denies this, saying in his memoir, Sonny Boy, that he was ""scared"" of his sudden fame and never heard the rumor until much later in his life.
The Godfather had five nominations for awards at the 26th British Academy Film Awards. The nominees were: Pacino for Most Promising Newcomer, Rota for the Anthony Asquith Award for Film Music, Duvall for Best Supporting Actor, and Brando for Best Actor, the film's costume designer Anna Hill Johnstone for Best Costume Design. The only nomination to win was that of Rota. ",  
Alien,https://en.wikipedia.org/wiki/Alien_(film),,,
The Shining,https://en.wikipedia.org/wiki/The_Shining_(film),,,
The Empire Strikes Back,https://en.wikipedia.org/wiki/The_Empire_Strikes_Back,, ,"   The Empire Strikes Back was adapted into a 1982 radio play broadcast on National Public Radio in the United States. Return of the Jedi was released in 1983, concluding the original film trilogy. Jedi's plot follows the Rebel assault on the Empire and Luke's final confrontation with Vader and the Emperor. Like the previous films, Jedi was a financial success and fared well with critics.
Nearly two decades after the release of Empire, Lucas wrote and directed the prequel trilogy, consisting of The Phantom Menace (1999), Attack of the Clones (2002), and Revenge of the Sith (2005). The films chronicle the history between Obi-Wan Kenobi and Anakin Skywalker, and the latter's fall to the dark side and transformation into Darth Vader. The storylines and certain new characters in the prequel films polarized critics and fans. After Lucas sold the Star Wars franchise to the Walt Disney Company in 2012, Disney developed a sequel trilogy, consisting of The Force Awakens (2015), The Last Jedi (2017), and The Rise of Skywalker (2019). Original trilogy cast members—including Ford, Hamill, and Fisher—reprised their roles, and were joined by new characters portrayed by Daisy Ridley, John Boyega, Adam Driver, and Oscar Isaac. Standalone films and television series have also been released, with narratives relating to the story arcs of the original trilogy. "
Raiders of the Lost Ark,https://en.wikipedia.org/wiki/Raiders_of_the_Lost_Ark,, ,   
Blade Runner,https://en.wikipedia.org/wiki/Blade_Runner,, ,  
Return of the Jedi,https://en.wikipedia.org/wiki/Return_of_the_Jedi,"John Williams composed the film's musical score and performed it with the London Symphony Orchestra. Orchestration credits also include Thomas Newman. The initial release of the film's soundtrack was on the RSO Records label in the United States. In 2004, Sony Classical Records acquired the rights to both the original trilogy scores and to the soundtracks for the prequel films The Phantom Menace and Attack of the Clones. In the same year, Sony Classical re-pressed the 1997 RCA Victor release of Return of the Jedi along with the other two films in the trilogy. This set was released with new artwork mirroring the first DVD release of the film. Despite the digital re-mastering, which minimally improved the sound heard only on high-end stereos, the 2004 release has been described as essentially the same as the 1997 RCA Victor release. ", ," Return of the Jedi was released on May 25, 1983. It was originally slated to open on May 27, but was subsequently changed to coincide with the date of the 1977 release of the original Star Wars film. With a massive worldwide marketing campaign, illustrator Tim Reamer created the image for the theatrical poster and other advertising. At the time of its release, the film was advertised on posters and merchandise as simply Star Wars: Return of the Jedi, despite its on-screen ""Episode VI"" distinction. The film was re-released in 1985.  "
The Terminator,https://en.wikipedia.org/wiki/The_Terminator,,," Orion Pictures did not have faith in The Terminator performing well at the box office and feared a negative critical reception. At an early screening of the film, the actors' agents insisted to the producers that the film should be screened for critics. Orion only held one press screening for the film. The film premiered on October 26, 1984. On its opening week, The Terminator played at 1,005 theaters and grossed $4.0 million making it number one at the box office. The film remained at number one in its second week. It lost its number one spot in the third week to Oh, God! You Devil. Cameron noted that The Terminator was a hit ""relative to its market, which is between the summer and the Christmas blockbusters. But it's better to be a big fish in a small pond than the other way around."" The Terminator grossed $38.3 million in the United States and Canada and $40 million in other territories for a worldwide gross of $78.3 million.  "
