id,name,count
209714,3d,35
179430,aftercreditsstinger,33
179431,duringcreditsstinger,32
9715,superhero,32
4565,dystopia,28
9717,based on comic,27
8828,marvel comic,26
818,based on novel,21
9663,sequel,18
2343,magic,15
156395,imax,13
180547,marvel cinematic universe,13
14819,violence,12
6054,friendship,11
161176,space opera,11
9748,revenge,11
9882,space,11
9951,alien,11
9826,murder,9
9831,spaceship,9
223438,based on young adult novel,9
163455,super powers,9
310,artificial intelligence,8
11322,female protagonist,8
2964,future,8
177912,wizard,8
1701,hero,7
4379,time travel,7
14512,new york city,7
1852,mutant,7
