id,name,character,order,gender
862,Tom Hanks,Woody (voice),0,2
862,Tim Allen,Buzz Lightyear (voice),1,2
862,Don Rickles,Mr. Potato Head (voice),2,2
862,Jim Varney,Slinky Dog (voice),3,2
862,Wallace Shawn,Rex (voice),4,2
862,John Ratzenberger,Hamm (voice),5,2
862,Annie Potts,Bo Peep (voice),6,1
862,John Morris,Andy (voice),7,0
862,Erik von Detten,Sid (voice),8,2
862,Laurie Metcalf,Mrs. Davis (voice),9,1
862,R. Lee Ermey,Sergeant (voice),10,2
862,Sarah Freeman,Hannah (voice),11,1
862,Penn Jillette,TV Announcer (voice),12,2
807,Brad Pitt,Detective David Mills,0,2
807,Morgan Freeman,Detective Lt. William Somerset,1,2
807,Gwyneth Paltrow,Tracy Mills,2,1
807,John C. McGinley,California,3,2
807,Kevin Spacey,John Doe,4,2
807,R. Lee Ermey,Police Captain,5,2
807,Richard Roundtree,Dist. Atty. Martin Talbot,6,2
807,Richard Schiff,Mark Swarr,7,2
807,Julie Araskog,Mrs. Gould,8,0
807,Mark Boone Junior,Greasy F.B.I. Man,9,2
807,John Cassini,Officer Davis,10,2
807,Reg E. Cathey,Dr. Santiago,11,2
807,Peter Crombie,Dr. O'Neill,12,0
807,Hawthorne James,"George, Library Night Guard",13,2
807,Michael Massee,Man in Booth at Massage Parlor,14,2
807,Leland Orser,Crazed Man in Massage Parlor,15,2
807,Richard Portnow,Dr. Beardsley,16,2
807,Daniel Zacapa,Detective Taylor,17,2
807,Alfonso Freeman,Fingerprint Technician,18,2
807,Harris Savides,911 Operator,19,2
807,Andrew Kevin Walker,Dead Man,20,2
807,Richmond Arquette,Delivery Man,21,2
807,Pamala Tyson,Thin Vagrant,22,0
807,Emily Wagner,Detective Sara,23,1
807,Shannon Wilcox,Woman Cop Behind Desk,24,1
807,George Christy,Workman at Door of Somerset's Office,25,2
807,Endre Hules,Cab Driver,26,2
807,William Davidson,First Guard at the Library,27,2
807,Bob Collins,Second Guard at the Library,28,0
807,Dominique Jennings,TV News Reporter,29,1
807,Allan Kolman,First Forensic Man in the Law Office,30,2
807,Gene Borkan,Eli Gould - Greed Victim,31,2
807,Mario Di Donato,Fingerprint Forensic Man in Law Office,32,2
807,Harrison White,Cop on SWAT Team,33,0
807,Bob Stephenson,Cop on SWAT Team,34,2
807,Michael Reid MacKay,Victor - Sloth Victim,35,0
807,Lennie Loftin,Policeman Who Takes Statement from Vagrant,36,2
807,Martin Serene,Wild Bill,37,0
807,David Correia,First Cop at Massage Parlor,38,2
807,Lexie Bigham,Sweating Cop at Massage Parlor,39,0
807,Evan Mirand,Paramedic at Massage Parlor,40,2
807,Paul Eckstein,Paramedic at Massage Parlor,41,0
807,Rachel Flanagan,Additional 911 Operator,42,1
807,Heidi Schanz,Pride Victim,43,1
807,Brian Evers,Duty Sergeant,44,2
807,James Deeth,Helicopter Pilot,45,0
807,Charles A. Tamburro,SWAT Helicopter Pilot,46,0
807,Charles S. Dutton,Cop (uncredited),47,2
807,Arthur Max,Man in Library (uncredited),48,2
11,Mark Hamill,Luke Skywalker,0,2
11,Harrison Ford,Han Solo,1,2
11,Carrie Fisher,Princess Leia Organa,2,1
11,Peter Cushing,Grand Moff Tarkin,3,2
11,Alec Guinness,"Obi-Wan ""Ben"" Kenobi",4,2
11,Anthony Daniels,See Threepio (C-3PO),5,2
11,Kenny Baker,Artoo-Detoo (R2-D2),6,2
11,Peter Mayhew,Chewbacca,7,2
11,David Prowse,Darth Vader,8,2
11,James Earl Jones,Voice of Darth Vader (voice),9,0
11,Phil Brown,Uncle Owen,10,2
11,Shelagh Fraser,Aunt Beru,11,1
11,Jack Purvis,Chief Jawa,12,2
11,Eddie Byrne,General Willard,13,2
11,Denis Lawson,Red Two (Wedge),14,2
11,Garrick Hagon,Red Three (Biggs),15,2
11,Don Henderson,General Taggi,16,2
11,Leslie Schofield,Commander #1,17,2
11,Richard LeParmentier,General Motti,18,2
11,Michael Leader,Stormtrooper,19,2
11,Alex McCrindle,General Dodonna,20,2
11,Drewe Henley,Red Leader,21,2
11,Jack Klaff,"Red Four (John ""D"")",22,2
11,William Hootkins,Red Six (Porkins),23,2
11,Angus MacInnes,Gold Leader,24,2
11,Jeremy Sinden,Gold Two,25,2
