id,type,name,character,order,job,department,gender
862,cast,Tom Hanks,Woody (voice),0,,,2
862,cast,Tim Allen,Buzz Lightyear (voice),1,,,2
862,cast,Don Rickles,Mr. Potato Head (voice),2,,,2
862,cast,Jim Varney,Slinky Dog (voice),3,,,2
862,cast,Wallace Shawn,Rex (voice),4,,,2
862,cast,John Ratzenberger,Hamm (voice),5,,,2
862,cast,Annie Potts,Bo Peep (voice),6,,,1
862,cast,John Morris,Andy (voice),7,,,0
862,cast,Erik von Detten,Sid (voice),8,,,2
862,cast,Laurie Metcalf,Mrs. Davis (voice),9,,,1
862,cast,R. Lee Ermey,Sergeant (voice),10,,,2
862,cast,Sarah Freeman,Hannah (voice),11,,,1
862,cast,Penn Jillette,TV Announcer (voice),12,,,2
862,crew,John Lasseter,,,Director,Directing,2
862,crew,Joss Whedon,,,Screenplay,Writing,2
862,crew,Andrew Stanton,,,Screenplay,Writing,2
862,crew,Joel Cohen,,,Screenplay,Writing,2
862,crew,Alec Sokolow,,,Screenplay,Writing,0
862,crew,Bonnie Arnold,,,Producer,Production,1
862,crew,Ed Catmull,,,Executive Producer,Production,0
862,crew,Ralph Guggenheim,,,Producer,Production,2
862,crew,Steve Jobs,,,Executive Producer,Production,2
862,crew,Lee Unkrich,,,Editor,Editing,2
862,crew,Ralph Eggleston,,,Art Direction,Art,2
862,crew,Robert Gordon,,,Editor,Editing,2
862,crew,Mary Helen Leasman,,,Foley Editor,Sound,0
862,crew,Kim Blanchette,,,Animation,Visual Effects,0
862,crew,Marilyn McCoppen,,,ADR Editor,Sound,0
862,crew,Randy Newman,,,Orchestrator,Sound,2
862,crew,Dale E. Grahn,,,Color Timer,Editing,0
862,crew,Robin Cooper,,,CG Painter,Visual Effects,0
862,crew,John Lasseter,,,Original Story,Writing,2
862,crew,Pete Docter,,,Original Story,Writing,2
862,crew,Joe Ranft,,,Original Story,Writing,0
862,crew,Patsy Bouge,,,Post Production Supervisor,Crew,0
862,crew,Norm DeCarlo,,,Sculptor,Art,0
862,crew,Ash Brannon,,,Animation Director,Visual Effects,2
862,crew,Randy Newman,,,Music,Sound,2
862,crew,Roman Figun,,,Layout,Directing,0
862,crew,Don Davis,,,Orchestrator,Sound,2
862,crew,James Flamberg,,,Music Editor,Sound,0
862,crew,Mary Beth Smith,,,Negative Cutter,Editing,0
862,crew,Rick Mackay,,,Negative Cutter,Editing,0
862,crew,Susan Bradley,,,Title Designer,Art,0
862,crew,William Reeves,,,Supervising Technical Director,Crew,0
862,crew,Randy Newman,,,Songs,Sound,2
862,crew,Andrew Stanton,,,Original Story,Writing,2
862,crew,Pete Docter,,,Supervising Animator,Crew,2
862,crew,Gary Rydstrom,,,Sound Designer,Sound,2
862,crew,Karen Robert Jackson,,,Production Supervisor,Production,0
862,crew,Chris Montan,,,Executive Music Producer,Crew,0
862,crew,Rich Quade,,,Animation Director,Visual Effects,0
862,crew,Michael Berenstein,,,Animation,Visual Effects,0
862,crew,Colin Brady,,,Animation,Visual Effects,0
862,crew,Davey Crockett Feiten,,,Animation,Visual Effects,0
862,crew,Angie Glocka,,,Animation,Visual Effects,0
862,crew,Rex Grignon,,,Animation,Visual Effects,0
862,crew,Tom K. Gurney,,,Animation,Visual Effects,0
862,crew,Jimmy Hayward,,,Animation,Visual Effects,2
