movie_id,collection_id,collection_name
155,263,The Dark Knight Collection
19995,87096,Avatar Collection
24428,86311,The Avengers Collection
293660,448150,Deadpool Collection
118340,284433,Guardians of the Galaxy Collection
70160,131635,The Hunger Games Collection
76341,8945,Mad Max Collection
49026,263,The Dark Knight Collection
603,2344,The Matrix Collection
1726,131292,Iron Man Collection
68721,131292,Iron Man Collection
120,119,The Lord of the Rings Collection
135397,328,Jurassic Park Collection
49051,121938,The Hobbit Collection
122,119,The Lord of the Rings Collection
140607,10,Star Wars Collection
37724,645,James Bond Collection
121,119,The Lord of the Rings Collection
272,263,The Dark Knight Collection
271110,131295,Captain America Collection
22,295,Pirates of the Caribbean Collection
209112,209131,Man of Steel Collection
671,1241,Harry Potter Collection
1771,131295,Captain America Collection
10138,131292,Iron Man Collection
99861,86311,The Avengers Collection
11,10,Star Wars Collection
1930,125574,The Amazing Spider-Man Collection
10195,131296,Thor Collection
101299,131635,The Hunger Games Collection
20352,86066,Despicable Me Collection
49521,209131,Man of Steel Collection
18785,86119,The Hangover Collection
263115,453993,The Wolverine Collection
12,137697,Finding Nemo Collection
105,264,Back to the Future Collection
127585,748,X-Men Collection
585,137696,"Monsters, Inc. Collection"
12445,1241,Harry Potter Collection
207703,391860,Kingsman Collection
673,1241,Harry Potter Collection
102899,422834,Ant-Man Collection
238,230,The Godfather Collection
1891,10,Star Wars Collection
672,1241,Harry Potter Collection
10528,102322,Sherlock Holmes Collection
100402,131295,Captain America Collection
131631,131635,The Hunger Games Collection
674,1241,Harry Potter Collection
12444,1241,Harry Potter Collection
72190,416468,World War Z Collection
75656,382685,Now You See Me Collection
675,1241,Harry Potter Collection
259316,435259,Fantastic Beasts Collection
198663,295130,The Maze Runner Collection
8587,94032,The Lion King Collection
245891,404609,John Wick Collection
109445,386382,Frozen Collection
767,1241,Harry Potter Collection
862,10194,Toy Story Collection
557,556,Spider-Man Collection
58,295,Pirates of the Caribbean Collection
9806,468222,The Incredibles Collection
82992,9485,The Fast and the Furious Collection
49538,748,X-Men Collection
70981,135416,Prometheus Collection
330459,10,Star Wars Collection
1271,125570,300 Collection
24,2883,Kill Bill Collection
1865,295,Pirates of the Caribbean Collection
297762,468552,Wonder Woman Collection
329,328,Jurassic Park Collection
68726,363369,Pacific Rim Collection
122917,121938,The Hobbit Collection
76338,131296,Thor Collection
283995,284433,Guardians of the Galaxy Collection
246655,748,X-Men Collection
72105,266672,Ted Collection
157350,283579,Divergent Collection
12155,261307,Alice in Wonderland Collection
1892,10,Star Wars Collection
23483,179892,Kick-Ass Collection
211672,86066,Despicable Me Collection
93456,86066,Despicable Me Collection
10193,10194,Toy Story Collection
82690,404825,Wreck-It Ralph Collection
57158,121938,The Hobbit Collection
285,295,Pirates of the Caribbean Collection
13475,115575,Star Trek: Alternate Reality Collection
348,8091,Alien Collection
206647,645,James Bond Collection
274,9743,The Hannibal Lecter Anthology
1893,10,Star Wars Collection
607,86055,Men In Black Collection
119450,173710,Planet of the Apes (Reboot) Collection
54138,115575,Star Trek: Alternate Reality Collection
61791,173710,Planet of the Apes (Reboot) Collection
8681,135483,Taken Collection
558,556,Spider-Man Collection
127380,137697,Finding Nemo Collection
10191,89137,How to Train Your Dragon Collection
102382,125574,The Amazing Spider-Man Collection
280,528,The Terminator Collection
168259,9485,The Fast and the Furious Collection
41154,86055,Men In Black Collection
218,528,The Terminator Collection
1895,10,Star Wars Collection
808,2150,Shrek Collection
36657,748,X-Men Collection
64688,212562,Jump Street Collection
131634,131635,The Hunger Games Collection
1858,8650,Transformers Collection
76170,453993,The Wolverine Collection
2080,453993,The Wolverine Collection
1894,10,Star Wars Collection
393,2883,Kill Bill Collection
56292,87359,Mission: Impossible Collection
562,1570,Die Hard Collection
920,87118,Cars Collection
58574,102322,Sherlock Holmes Collection
425,8354,Ice Age Collection
85,84,Indiana Jones Collection
36557,645,James Bond Collection
165,264,Back to the Future Collection
262500,283579,Divergent Collection
863,10194,Toy Story Collection
161,304,Ocean's Collection
45243,86119,The Hangover Collection
78,422837,Blade Runner Collection
337339,9485,The Fast and the Furious Collection
