movie_id,company_id,company_name
27205,923,Legendary Pictures
27205,6194,Warner Bros.
27205,9996,Syncopy
155,429,DC Comics
155,923,Legendary Pictures
155,6194,Warner Bros.
155,9993,DC Entertainment
155,9996,Syncopy
19995,289,Ingenious Film Partners
19995,306,Twentieth Century Fox Film Corporation
19995,444,Dune Entertainment
19995,574,Lightstorm Entertainment
24428,4,Paramount Pictures
24428,420,Marvel Studios
293660,306,Twentieth Century Fox Film Corporation
293660,7505,Marvel Entertainment
293660,11307,The Donners' Company
293660,22213,TSG Entertainment
293660,78091,Kinberg Genre
157336,4,Paramount Pictures
157336,923,Legendary Pictures
157336,6194,Warner Bros.
157336,9996,Syncopy
157336,13769,Lynda Obst Productions
68718,5,Columbia Pictures
68718,308,The Weinstein Company
118340,420,Marvel Studios
118340,20478,Moving Picture Company (MPC)
118340,54850,Bulletproof Cupid
118340,76043,Revolution Sun Studios
550,306,Twentieth Century Fox Film Corporation
550,508,Regency Enterprises
550,711,Fox 2000 Pictures
550,20555,Taurus Film
550,54050,Linson Films
550,54051,Atman Entertainment
550,54052,Knickerbocker Films
70160,1632,Lionsgate
70160,5420,Color Force
76341,79,Village Roadshow Pictures
76341,2537,Kennedy Miller Productions
76341,6194,Warner Bros.
49026,923,Legendary Pictures
49026,6194,Warner Bros.
49026,9993,DC Entertainment
49026,9996,Syncopy
603,79,Village Roadshow Pictures
603,372,Groucho II Film Partnership
603,1885,Silver Pictures
603,6194,Warner Bros.
1726,4,Paramount Pictures
1726,420,Marvel Studios
68721,420,Marvel Studios
120,11,WingNut Films
120,12,New Line Cinema
120,5237,The Saul Zaentz Company
135397,13,Universal Studios
135397,56,Amblin Entertainment
135397,923,Legendary Pictures
135397,3341,Fuji Television Network
135397,6452,Dentsu
680,14,Miramax Films
680,59,A Band Apart
680,216,Jersey Films
49051,11,WingNut Films
49051,12,New Line Cinema
49051,174,Warner Bros. Pictures
49051,8411,Metro-Goldwyn-Mayer (MGM)
278,97,Castle Rock Entertainment
278,6194,Warner Bros.
122,11,WingNut Films
122,12,New Line Cinema
13,4,Paramount Pictures
140607,1,Lucasfilm
140607,1634,Truenorth Productions
140607,11461,Bad Robot
597,4,Paramount Pictures
597,306,Twentieth Century Fox Film Corporation
597,574,Lightstorm Entertainment
37724,5,Columbia Pictures
297761,429,DC Comics
297761,444,Dune Entertainment
297761,507,Atlas Entertainment
297761,6194,Warner Bros.
297761,9993,DC Entertainment
121,11,WingNut Films
121,12,New Line Cinema
121,5237,The Saul Zaentz Company
272,429,DC Comics
272,923,Legendary Pictures
272,6194,Warner Bros.
272,9993,DC Entertainment
272,9996,Syncopy
272,19231,Patalex III Productions Limited
271110,264,Studio Babelsberg
271110,420,Marvel Studios
271110,3036,Walt Disney Studios Motion Pictures
