movie_id,genre_id,genre_name
27205,28,Action
27205,53,Thriller
27205,878,ScienceFiction
27205,9648,Mystery
27205,12,Adventure
155,18,Drama
155,28,Action
155,80,Crime
155,53,Thriller
19995,28,Action
19995,12,Adventure
19995,14,Fantasy
19995,878,ScienceFiction
24428,878,ScienceFiction
24428,28,Action
24428,12,Adventure
293660,28,Action
293660,12,Adventure
293660,35,Comedy
157336,12,Adventure
157336,18,Drama
157336,878,ScienceFiction
68718,18,Drama
68718,37,Western
118340,28,Action
118340,878,ScienceFiction
118340,12,Adventure
550,18,Drama
70160,878,ScienceFiction
70160,12,Adventure
70160,14,Fantasy
76341,28,Action
76341,12,Adventure
76341,878,ScienceFiction
76341,53,Thriller
49026,28,Action
49026,80,Crime
49026,18,Drama
49026,53,Thriller
603,28,Action
603,878,ScienceFiction
1726,28,Action
1726,878,ScienceFiction
1726,12,Adventure
68721,28,Action
68721,12,Adventure
68721,878,ScienceFiction
120,12,Adventure
120,14,Fantasy
120,28,Action
135397,28,Action
135397,12,Adventure
135397,878,ScienceFiction
135397,53,Thriller
680,53,Thriller
680,80,Crime
49051,12,Adventure
49051,14,Fantasy
49051,28,Action
278,18,Drama
278,80,Crime
122,12,Adventure
122,14,Fantasy
122,28,Action
13,35,Comedy
13,18,Drama
13,10749,Romance
140607,28,Action
140607,12,Adventure
140607,878,ScienceFiction
140607,14,Fantasy
597,18,Drama
597,10749,Romance
597,53,Thriller
37724,28,Action
37724,12,Adventure
37724,53,Thriller
297761,28,Action
297761,12,Adventure
297761,80,Crime
297761,14,Fantasy
297761,878,ScienceFiction
121,12,Adventure
121,14,Fantasy
121,28,Action
272,28,Action
272,80,Crime
272,18,Drama
271110,12,Adventure
271110,28,Action
271110,878,ScienceFiction
286217,18,Drama
286217,12,Adventure
286217,878,ScienceFiction
22,12,Adventure
22,14,Fantasy
22,28,Action
209112,28,Action
209112,12,Adventure
209112,14,Fantasy
671,12,Adventure
671,14,Fantasy
671,10751,Family
1771,28,Action
1771,12,Adventure
1771,878,ScienceFiction
14160,16,Animation
14160,35,Comedy
14160,10751,Family
14160,12,Adventure
10138,12,Adventure
10138,28,Action
10138,878,ScienceFiction
99861,28,Action
99861,12,Adventure
99861,878,ScienceFiction
11,12,Adventure
11,28,Action
11,878,ScienceFiction
106646,80,Crime
106646,18,Drama
106646,35,Comedy
150540,18,Drama
150540,35,Comedy
150540,16,Animation
