id,imdb_id,title,original_title,original_language,overview,tagline,budget,revenue,runtime,release_date,vote_average,vote_count,popularity,status,adult,homepage,poster_path
27205,tt1375666,Inception,Inception,en,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",Your mind is the scene of the crime.,160000000,825532764,148,2010-07-14,8.1,14075,29.108149,Released,False,http://inceptionmovie.warnerbros.com/,/qmDpIHrmpJINaRKAfWQfftjCdyi.jpg
155,tt0468569,The Dark Knight,The Dark Knight,en,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",Why So Serious?,185000000,1004558444,152,2008-07-16,8.3,12269,123.167259,Released,False,http://thedarkknight.warnerbros.com/dvdsite/,/1hRoyzDtpgMU7Dz4JF22RANzQO7.jpg
19995,tt0499549,Avatar,Avatar,en,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",Enter the World of Pandora.,237000000,2787965087,162,2009-12-10,7.2,12114,185.070892,Released,False,http://www.avatarmovie.com/,/kmcqlZGaSh20zpTbuoF0Cdn07dT.jpg
24428,tt0848228,The Avengers,The Avengers,en,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",Some assembly required.,220000000,1519557910,143,2012-04-25,7.4,12000,89.887648,Released,False,http://marvel.com/avengers_movie/,/cezWGskPY5x7GaglTTRN4Fugfb8.jpg
293660,tt1431045,Deadpool,Deadpool,en,"Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",Witness the beginning of a happy ending,58000000,783112979,108,2016-02-09,7.4,11444,187.860492,Released,False,http://www.foxmovies.com/movies/deadpool,/inVq3FRqcYIRl2la8iZikYYxFNR.jpg
157336,tt0816692,Interstellar,Interstellar,en,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,Mankind was born on Earth. It was never meant to die here.,165000000,675120017,169,2014-11-05,8.1,11187,32.213481,Released,False,http://www.interstellarmovie.net/,/nBNZadXqJSdt05SHLqgT0HuC5Gm.jpg
68718,tt1853728,Django Unchained,Django Unchained,en,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.","Life, liberty and the pursuit of vengeance.",100000000,425368238,165,2012-12-25,7.8,10297,19.785025,Released,False,http://unchainedmovie.com/,/5WJnxuw41sddupf8cwOxYftuvJG.jpg
118340,tt2015381,Guardians of the Galaxy,Guardians of the Galaxy,en,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",All heroes start somewhere.,170000000,773328629,121,2014-07-30,7.9,10014,53.291601,Released,False,http://marvel.com/guardians,/y31QB9kn3XSudA15tV7UWQ9XLuW.jpg
550,tt0137523,Fight Club,Fight Club,en,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",Mischief. Mayhem. Soap.,63000000,100853753,139,1999-10-15,8.3,9678,63.869599,Released,False,http://www.foxmovies.com/movies/fight-club,/adw6Lq9FiC9zjYEpOqfq03ituwp.jpg
70160,tt1392170,The Hunger Games,The Hunger Games,en,"Every year in the ruins of what was once North America, the nation of Panem forces each of its twelve districts to send a teenage boy and girl to compete in the Hunger Games.  Part twisted entertainment, part government intimidation tactic, the Hunger Games are a nationally televised event in which “Tributes” must fight with one another until one survivor remains.  Pitted against highly-trained Tributes who have prepared for these Games their entire lives, Katniss is forced to rely upon her sharp instincts as well as the mentorship of drunken former victor Haymitch Abernathy.  If she’s ever to return home to District 12, Katniss must make impossible choices in the arena that weigh survival against humanity and life against love. The world will be watching.",May The Odds Be Ever In Your Favor.,75000000,691210692,142,2012-03-12,6.9,9634,20.031667,Released,False,http://www.thehungergames.movie/,/iLJdwmzrHFjFwI5lvYAT1gcpRuA.jpg
