id,Title,hasAwardName,hasAwardYear,hasBoxOfficeRevenue,hasComposer,hasDirector,hasFrenchAdaptationYear,hasFrenchAdaptor,hasFrenchQuebecTitle,hasFrenchReleaseDate,hasFrenchTitle,hasFrenchVoiceCast,hasProducer,hasScenarioWriters,hasThemeSongCompositor,hasThemeSongTitle
12,Finding Nemo,Oscar for Best Animated Feature Film,2004,,,,2003,,,,,Voix françaises,,,Thomas Newman,
13,Forrest Gump,Oscar,1995,,,,1994,,,,,,,,,,
18,The Fifth Element,Oscar,,,,,,,,,,,,,,Plavalaguna
77,Memento,Academy Award for Best Original Screenplay,2001,,,,,,,,,,,,,Memento (Dead Can Dance song)
78,Blade Runner,,,,,,1982,,,,,,,,Vangelis,
85,Raiders of the Lost Ark,,,,,,1981,,,,,,,,,
98,Gladiator,,,,,,,,,,,,,,,
105,Back to the Future,,,,,,"1985, 1989, 1990",,,,,,,,,
129,Spirited Away,Oscar du meilleur film d'animation,2002,,,,,,,,,,,,Joe Hisaishi,
155,The Dark Knight,Oscar (Best Supporting Actor),2009,,,,,,,,,,,,"Hans Zimmer, James Newton Howard",Nobody to Save Me
165,Back to the Future Part II,,,,,,1989,,,,,,,,,
218,The Terminator,National Film Registry,,,,,2008,,,,,,,,Brad Fiedel,"""You Could Be Mine"" by Guns N' Roses"
238,The Godfather,Game Developers Choice Awards,2010,,,,"1972, 1974, 1990, 2006, 2009",Francis Ford Coppola,,,,,"Andy Garcia, Al Pacino",,,Jake Clemons,Misunderstood Love
272,Batman Begins,,,,,,2005,,,,Batman : Le Commencement au Québec,,,,Hans Zimmer et James Newton Howard,
274,The Silence of the Lambs,,,,,,1991,Jonathan Demme,,,,,,,,
278,The Shawshank Redemption,"AFI's 100 Years...100 Movies, IMDb's Top 250 Movies",,,,,1994,,,,,,,,,
329,Jurassic Park,Oscar,1994,,,,,David Koepp,,,,,,,John Williams,"""Adventures in the Unknown"""
348,Alien,Academy Award for Best Visual Effects (1980),1980,,,Fede Álvarez,,,,,,,,,,Alien (bande originale du film de 1979)
425,Ice Age,,,,,,2002,,,,,,,,,
497,The Green Mile,,,,,,1999,Frank Darabont,,,,,,,,
500,Reservoir Dogs,Sundance Film Festival Dramatic Grand Jury Prize,1992,,,,,,,,,,,,"Greg Allman, Joe Walsh, Larry E. Junstrom, Joe Vitale",Stuck in the Middle with You (Stealers Wheel)
550,Fight Club,Academy Award for Best Sound Editing,1999,,,,,,,,,,,,,"""Nobody's Here"" by the Dust Brothers"
557,Spider-Man,,,,,,1969,,,,,,,,,
