id,Title,hasAwardName,hasAwardYear,hasBoxOfficeRevenue,hasComposer,hasDirector,hasFrenchAdaptationYear,hasFrenchAdaptor,hasFrenchQuebecTitle,hasFrenchReleaseDate,hasFrenchTitle,hasFrenchVoiceCast,hasProducer,hasScenarioWriters,hasThemeSongCompositor,hasThemeSongTitle
137113.0,Edge of Tomorrow,,,,,,2014,Doug Liman,,,,,,,,
264660.0,Ex Machina,"Academy of Science Fiction, Fantasy & Horror Films - Saturn Award",2016,,,,,,,,,,,,,"""Closer to the Edge"" (by Sia)"
259316.0,Fantastic Beasts and Where to Find Them,,,,,,2016,,,,,,,,James Newton Howard,
,Fast  Furious 6,,,,,,2013,,,,,,,,Lucas Vidal,
550.0,Fight Club,Academy Award for Best Sound Editing,1999 (for the film),,,,,,,,,,,,,"""Nobody's Here"" by the Dust Brothers"
127380.0,Finding Dory,,,,,,2016,,Trouver Doris,,Le Monde de Dory,,,,Thomas Newman,"Blackbird, Cheek To Cheek From Top Hat, The Tra La La Song, Theme From S.W.A.T., (Every Time I Turn Around) Back In Love Again, The Planets Op 32 - Mars, C.C. Rider, Everybody Loves Babies, Viva Las Vegas, Alla En El Rancho Grande, Ladies Night, What The World Needs Now Is Love"
12.0,Finding Nemo,Oscar for Best Animated Feature Film,2004,,,,2003,,,,,Voix françaises,,,Thomas Newman,
13.0,Forrest Gump,Oscar,1995,,,,1994,,,,,Non spécifié (contexte ne mentionne pas),,,Non spécifié (contexte ne mentionne pas),Non spécifié (contexte ne mentionne pas)
109445.0,Frozen,Academy Award for Best Animated Feature Film,2014,,,,,,,,,,,,"Kristen Anderson-Lopez, Robert Lopez",Let It Go
168259.0,Furious 7,,,,,,2015,James Wan,,,,,,,Brian Tyler,
228150.0,Fury,Academy Award for Best Sound Editing,2015,,,,,,,,,,,,John Williams,"""Red, Red Kroovy"""
98.0,Gladiator,,,,,,,,,,,,,,,
210577.0,Gone Girl,British Academy Film Award,,,,,2014,,,,Les Apparences au Québec,,,,,
49047.0,Gravity,,,,,,,,,,,,,,,Bullet for My Valentine (2018 album)
118340.0,Guardians of the Galaxy,People's Choice Award for Favorite Movie,2015,,,,,,,,,,,,"Tyler Bates, Steve Jablonsky",Awesome Mix Vol. 1
672.0,Harry Potter and the Chamber of Secrets,,,,,,1999,,,,,,,,,
,Harry Potter and the Deathly Hallows Part 1,,,,,,2010 (Year of release in France),David Yates,,,,"Daniel Radcliffe, Rupert Grint, Emma Watson (Main characters), Alexandre Desplat (Composer)",,,Alexandre Desplat,
,Harry Potter and the Deathly Hallows Part 2,Oscar,2012 (for Best Visual Effects),,,,,Steve Kloves,,,,"Daniel Radcliffe, Rupert Grint, Emma Watson (as main characters)",,,Alexandre Desplat,"""Little Bit Longer"" by Nick Cave and Warren Ellis"
674.0,Harry Potter and the Goblet of Fire,Tournoi des Trois Sorciers,,,,,2000,,,,,,,,Non spécifié,Non spécifié
767.0,Harry Potter and the Half-Blood Prince,,,,,,2005,,,,,,,,,
675.0,Harry Potter and the Order of the Phoenix,,,,,,,,,,,,,,,
,Harry Potter and the Philosophers Stone,Bloomsbury Children's Books Publication Award (1997),1997,,,,1998,Jean-François Ménard,,,,,,,,
673.0,Harry Potter and the Prisoner of Azkaban,Not applicable (as no award mentioned in context),Not applicable (as no award mentioned in context),,,,1999,,,,,Non-specified (as per context provided),,,Not applicable (as no theme song compositor mentioned in context),Not applicable (as no theme song title mentioned in context)
152601.0,Her,Academy Award for Best Original Screenplay,2014,,,,,,,,,,,,,
10191.0,How to Train Your Dragon,,,,John Powell,Dean DeBlois,2025,,,,Dragons,,"Marc Platt, Dean DeBlois, Adam Siegel",,,
6479.0,I Am Legend,,,,,Francis Lawrence,2007,,,,Je suis une légende,,,"Mark Protosevich, Akiva Goldsman, John William Corrington, Joyce H. Corrington",James Newton Howard,
,I Robot,,,,,,,,,,,,,,,I Robot (album and song by Alan Parsons Project)
425.0,Ice Age,,,,,,2002,,,,,,,,,
27205.0,Inception,Oscar,"2011 (for Best Cinematography, Best Sound Editing, Best Visual Effects, and Best Sound Mixing)",,,,,,,,,,,,Hans Zimmer,
16869.0,Inglourious Basterds,Multiple awards for Best Supporting Actor,2009,,,,2009,,,,,Non specified,,,Non specified,Non specified
150540.0,Inside Out,,,,,,,,,,,,,,,
157336.0,Interstellar,Academy Award for Best Visual Effects (won in 2015),2015,,,,2014 (Interstellaire),"Christopher Nolan, Jonathan Nolan",,,,"Matthew McConaughey (Joseph Cooper), Anne Hathaway (Amelia Brand), Michael Caine (Professor Brand), Jessica Chastain (Murphy Cooper), Casey Affleck (Tom Cooper), Matt Damon (Dr Mann)",,,Hans Zimmer,Non (The context does not provide information about the theme song title)
10138.0,Iron Man 2,,,,,,2010,,,,,,,,John Debney,
68721.0,Iron Man 3,PG-13 - Parents Strongly Cautioned,,,,,2013,,,,,,,,,
1726.0,Iron Man,,,,,,,,,,,,,,,
329.0,Jurassic Park,Oscar,1994,,,,,David Koepp,,,,Non-specified (French adaptation),,,John Williams,"""Adventures in the Unknown"""
135397.0,Jurassic World,Non spécifié,Non spécifié,,,,2015,,,,,Non spécifié,,,Non spécifié,Non spécifié
23483.0,Kick-Ass,,,,,,,,,,,,,,,
,Kingsman The Secret Service,,,,,,2014,,,,,,,,,
51876.0,Limitless,,,,,,,,,,,,,,,
263115.0,Logan,Academy Award for Best Adapted Screenplay,2018,,,,,,,,,,,,,Logan (song from the movie)
59967.0,Looper,Saturn Award for Best Music,2013,,,,,,,,,,,,Nathan Johnson,"""Traveler's Song"""
,Mad Max Fury Road,Oscar,2016,,,,,,,,,,,,,
102651.0,Maleficent,Golden Trailer Awards (2014) - Best Teaser Trailer,2014,,,,,"Alexandre de la Patellière, Christophe Gans (co-adaptors)",,,,"Élodie Bouchez (Maleficent), François Damiens (King Stefan), Marion Cotillard (Queen Ingrith)",,,"Lorne Balfe, Michael Danna","""Elle me Dit"" (French version of ""Once Upon a Dream"")"
49521.0,Man of Steel,Non remporté de prix spécifiques mentionnés dans le contexte fourni.,,,,,2013,,,,,"Henry Cavill, Amy Adams, Michael Shannon, Diane Lane, Kevin Costner, Laurence Fishburne, Russell Crowe",,,Non spécifié,Non spécifié
77.0,Memento,Academy Award for Best Original Screenplay,2001,,,,,,,,,,,,,Memento (Dead Can Dance song)
41154.0,Men in Black 3,,,,,,2012,,,,,,,,Danny Elfman,
607.0,Men in Black,Golden Raspberry Award,2020,,,,1998,,,,,,,,,Men in Black 3 (Pitbull)
211672.0,Minions,Value,,,,,,"Pierre Coffin, Marion Cotillard, Guillaume Canet, Philippe Laudenbach, Christian Gonon, Catherine Davenier, Jean-Christophe Dollé, Thierry Bosc, Silvie Laguna, Pauline Brunner, Philippe Spiteri, Pierre Diot, Hervé Icovic, Laurent Natrella, Gad Elmaleh",,,,"Pierre Coffin, Marion Cotillard, Guillaume Canet, Philippe Laudenbach, Christian Gonon, Catherine Davenier, Jean-Christophe Dollé, Thierry Bosc, Silvie Laguna, Pauline Brunner, Philippe Spiteri, Pierre Diot, Hervé Icovic, Laurent Natrella, Gad Elmaleh",,,,
,Monsters Inc.,,,,,,2002,,,,,"Jacques Frantz, Éric Métayer, Lola Krellenstein, Dominique Collignon-Maurin, Richard Darbois, Claire Keim, Isabelle Leprince, Henri Guybet, Jean-Loup Horwitz, Luq Hamet, Emmanuel Curtil, Pascal Casanova, Évelyne Grandjean, Pascal Nowak, Boris Rehlinger, Jérémy Prévost, Jean-Claude Donda, Jérôme Pauwels",,,,
75656.0,Now You See Me,People's Choice Award for Best Thriller,2013,,,,,,,,,,,,Brian Tyler,
75612.0,Oblivion,Best RPG (2006),2006,,,,,,,,,,,,,
,Oceans Eleven,,,,,,,,,,,,,,,
68726.0,Pacific Rim,,,,,,2018,,,,,,,,,"""Roarhead"" by Ramin Djawadi"
274870.0,Passengers,Not provided,Not provided,,,,2011 not applicable,,,,,,,,Not provided,Not provided
,Pirates of the Caribbean At Worlds End,"Academy of Science Fiction, Fantasy & Horror Films Saturn Award",2008,,,,2007,,,,,,,,Hans Zimmer,"""Now My Watch Begins"" by Hans Zimmer and Lisa Gerrard"
